id	persName
dbl_001_person_0	Jelinda Metelus
dbl_001_person_1	Ronald Copeland
dbl_001_person_2	Copeland
dbl_001_person_3	Claude
dbl_001_person_4	Sarah Copeland
dbl_001_person_5	Bob Blackman
dbl_001_person_6	Ron Copeland
dbl_001_person_7	Coach Blackman
dbl_001_person_8	Coach Blackman
dbl_001_person_9	Jim Blackman
dbl_001_person_10	Willie
dbl_001_person_11	Willie
dbl_001_person_12	[William (Willie) Bogan
dbl_001_person_13	Dean Brewster
dbl_001_person_14	Malcolm X
dbl_001_person_15	El Hajj Malik El Shabazz
dbl_001_person_16	Malcolm
dbl_001_person_17	Dr Martin Luther King [Jr.]
dbl_001_person_18	Malcolm X
dbl_001_person_19	Dr King's
dbl_001_person_20	Stefan Bradley
dbl_001_person_21	El Hajj Malik El Shabazz
dbl_001_person_22	Malcolm
dbl_001_person_23	Malcolm X
dbl_001_person_24	El Hajj Malik El Shabazz
dbl_001_person_25	Florian Jenkins
dbl_001_person_26	Jenkins
dbl_001_person_27	Malcolm
dbl_001_person_28	Malcolm X’s
dbl_001_person_29	Malcolm
dbl_001_person_30	Blackman
dbl_001_person_31	Cleve Webber
dbl_001_person_32	Cleveland Siddha Webber, Jr.
dbl_001_person_33	Bob Carter
dbl_001_person_34	Robert Carter
dbl_001_person_35	Bill McCurine
dbl_001_person_36	William McCurine
dbl_001_person_37	Tyrone Burd
dbl_001_person_38	Wesley [C.] Pugh
